,comments
1365,要学会成为资本了
1366,86万了
1367,哇哦
1368,很棒啊
1369,未知很美好
1370,好棒啊
1371,很真实
1372,86.4万了，加油
1373,阿盛离开影视飓风现在专业做车的评测了
1374,可以啊
1375,加油把
1376,加油
1377,86..6
1378,14高一？？？Wc 我也是
1379,有
1380,当兴趣爱好变成工作，听说都会。。。em好吧
1381,喜欢
1382,擦 Tim有女朋友啊
1383,喜欢！！
1384,会的！
1385,加油！
1386,86万了 ！
1387,墨韵
1388,加油
1389,\
1390,走的越久月爱你们
1391,加油！！！！
1392,喜欢！！！
1393,人一定要有梦想
1394,加油加油‘
1395,喜欢！！！
1396,现在就下单
1397,87w
1398,90万
1399,哈哈哈哈哈哈
1400,有
1401,喜欢
1402,up好可爱，酒窝加分
1403,up叙述的能力很强，能让人一直听下去
1404,听起来很真诚的感觉，支持
1405,87w
1406,马上有小金人了
1407,现在有9人再看
1408,87.1万
1409,言下之意
1410,这才是青春啊，这才是年轻人
1411,对，吸取到经验才是最宝贵得
1412,87万啦，加油
1413,加油！！！
1414,喜欢！！！
1415,马上九十万了！！！
1416,TIM好可爱啊
1417,85W
1418,才65万啊。。。还是太少了，，，
1419,up太真实了 支持你！
1420,王自如23333
1421,87.2W了
1422,为什么声画不同步？
1423,支持你，视频用心，你说的惰性太有同感 了！！！
1424,lks*tim
1425,87咯
1426,87.2w了!!
1427,会
1428,喜欢
1429,喜欢
1430,因为家里有钱，所以才能安心追求自己想要的事情啊
1431,爸爸：浙江万马集团有限公司总裁潘水苗
1432,生鲜类的生意。水很深的。
1433,真诚三连
1434,泪目~
1435,87.6万啦！！！
1436,粉了
1437,116.7w了
1438,疯疯癫癫地方hiu有一天
1439,方法呃呃哦不过
1440,单刀赴会积极太丰富
1441,太丰富发过火开户行
1442,乖乖乖
1443,一套房滚
1444,呵呵哈哈哈
1445,天天分分合合
1446,我是新粉
1447,有点像kasa
1448,硬币不足，，，不怪我
1449,划重点：家里有钱
1450,666
1451,一起加油~
1452,泪目
1453,87.8
1454,878.8W
1455,RED电影机
1456,操   真牛逼   哈哈哈
1457,87.9了
1458,刚开始不喜欢你，现在有很大改观。很棒 真的很棒
1459,"用过爱剪辑,但没出片子,所以巧影夺走了我的第一次"
1460,"马上期末了,但我还是点开了B站"
1461,马上88W啦！加油啊！
1462,杠精
1463,10个人正在看，考古
1464,87.9
1465,粉了，Tim价值观太正了，加油！
1466,88W了
1467,88万粉丝辣！
1468,哈哈哈哈哈哈哈哈哈哈哈
1469,赞
1470,不只这么点吧
1471,我也是会声会影
1472,太牛逼了，6个桃子168？？？？？有人买吗？
1473,88w
1474,会的
1475,88万
1476,真的很不喜欢弹幕里为了给自己的碌碌无为找借口 而否定Tim和团队这一路艰辛和汗水的人
1477,88w了
1478,的确不高，，
1479,88.1万了
1480,灯光在变
1481,啊哈哈哈哈
1482,新粉入坑
1483,88.2万
1484,算我一个！
1485,父母真好
1486,着家庭太好了
1487,你爹真的厉害
1488,专业分析师老爹
1489,你可以做一些微电影，做自己故事的电影
1490,加油加油！！
1491,开个直播连麦聊聊天吧
1492,奥利给 优秀
1493,醒醒，人家在英国读的大学
1494,加油
1495,有！！！！
1496,从何同学那边粉过来的，果然是用心的，加油
1497,30001条弹幕
1498,哈哈哈  王自如不容易。。 自己买了amg 不容易。
1499,mkbhd 经典结束动作
1500,很实在的一个小伙子，向你学习
1501,88w
1502,加油!
1503,草，这就是我这辈子该做的事情
1504,草
1505,太强了
1506,看哭了
1507,加油啊
1508,喜欢啊
1509,人生有梦，无乐不欢
1510,88.7万了
1511,88.7万
1512,88万
1513,何同学那里过来的
1514,加油
1515,你有red吗
1516,支持
1517,你有RED吗
1518,你发什么我都支持
1519,喜欢
1520,100W预定
1521,有病吧这些人 非要拿你芝麻大的见识绑架别人的价值观 
1522,加油 不要理杠精 毕竟孤儿 说说酸话故意让你难受
1523,想哭 恶意满满的世界
1524,喜欢
1525,88.7w
1526,爹是学财务的吧
1527,西湖文化广场啊····好地方，熟悉
1528,88万了
1529,117.1万
1530,加油
1531,加油
1532,他爹这是向上市努力的方向
1533,圣枪哥
1534,加油加油
1535,加油
1536,88.9万
1537,88
1538,哇，感觉好奇妙，拉克丝
1539,有有有
1540,88.9w
1541,88.9W
1542,是一定不是
1543,√
1544,会
1545,草，超棒
1546,会的
1547,我们一直在这
1548,89w了
1549,89w了
1550,还有守望先锋联赛总决赛现场
1551,89w了
1552,喜欢
1553,加油
1554,紫金港东操
1555,好厉害
1556,喜欢
1557,喜欢
1558,哭了
1559,哈哈哈
1560,会
1561,很棒
1562,不自觉地自我审查和阉割...
1563,草（是一种植物）
1564,。
1565,喜欢！
1566,我就是喜欢你们认真的样子
1567,89.7万啦
1568,喜欢!
1569,超喜欢这个片头
1570,期末考的时候也这样
1571,89.9要破90w了
1572,加油
1573,89.9马上90w了
1574,我来了
1575,89.9万
1576,三连三连
1577,谢谢
1578,red舔狗哈哈哈哈哈哈哈哈
1579,太过真实
1580,会
1581,家人支持很重要
1582,哈哈哈哈哈哈
1583,哈哈哈哈哈哈
1584,？？？？？
1585,可以的
1586,真的很难
1587,抱抱
1588,是的啊
1589,我也是这么想的
1590,嗯嗯
1591,很重要
1592,是呀
1593,说的对
1594,不傻 有很多道理必须自己领悟才行
1595,会啊
1596,是的
1597,嗯嗯 比心 谢谢
1598,90w报道
1599,不傻，一点都不傻，这种真诚和感动杀伤力是最强的
1600,加油加油
1601,都90万了 加油
1602,90万啦，
1603,加油
1604,-/
1605,3871·
1606,90.1万
1607,90w了
1608,人家家境好也比你努力，而你只能当个键盘侠
1609,90.3了
1610,加油！！！
1611,你做到了
1612,喜欢
1613,进度条可以……但我现在好困2点了……先睡了明天看
1614,三连 粉了粉了 加油
1615,喜欢
1616,6666666喜欢
1617,666
1618,90.5
1619,nb、
1620,s
1621,喜欢哦
1622,很理智啊你
1623,第一次b站弹幕
1624,90w
1625,喜欢！
1626,我的惰性一直很强
1627,有太多事情了
1628,90.6w了！
1629,投币投币
1630,90W
1631,100w
1632,加油加油加油
1633,想peach
1634,Tim超可爱(*╹▽╹*)
1635,加油！
1636,90w
1637,喜欢喜欢喜欢
1638,会
1639,90w
1640,无锡人报道
1641,2020考古
1642,哈哈哈哈哈哈哈哈哈哈卖桃子你真是个天才
1643,90.7
1644,加油
1645,90万
1646,加油
1647,91w了
1648,91.3
1649,91.2万了
1650,91.5
1651,118
1652,我可以的
1653,和爸爸长得也太像了吧！！
1654,没有，哈哈
1655,喜欢
1656,现在96.3万了
1657,加油
1658,加油
1659,100万
1660,草
1661,草这确实，有点不好卖
1662,俗称摸了
1663,什么TM叫创业 这TM就叫创业
1664,说6000-800不高的 何不食肉糜?
1665,在杭州6000-8000不高?  b站都人均过万?
1666,喜欢！
1667,93.1
1668,加油
1669,走心，，很棒
1670,93万了！加油！
1671,93.2万
1672,说的超级棒
1673,想看！！！
1674,加油呀
1675,小虎鲨
1676,100万
1677,马上100万啦
1678,加油
1679,无锡人民感谢你
1680,虽然19年才遇见了你们，但是你们的努力我们看得到，加油！
1681,做到了
1682,加油
1683,真诚，讲了好多心里话
1684,喜欢
1685,我爱Tim
1686,感动！
1687,我为什么看一个这样的视频会哭？我的天啊
1688,我被你这个视频点燃
1689,真的不容易，加油up我能体会你当时的感觉
1690,喜欢
1691,93.8W了
1692,喜欢
1693,啊啊啊啊啊 rookie
1694,rookie好帅
1695,加油
1696,喜欢
1697,喜欢！！！！！
1698,工作的事情 跟爸爸谈谈
1699,LKS 竟然这么牛
1700,你可以的
1701,第一次也给了会声会影
1702,加油
1703,94W了
1704,加油
1705,我刚开始以为你们是做播放器的……
1706,94.6
1707,tim加油 
1708,太对啦
1709,哈哈哈哈哈哈哈哈哈哈
1710,做起来很难。但你的真诚我们都感受到了。加油Tim
1711,会喜欢
1712,会喜欢！！！
1713,家境贫寒的人，敲键盘不会改变你们的生活
1714,离开是因为股份没谈好吗
1715,等一下我们不会……同龄吧
1716,加油哦
1717,加油哦
1718,加油哦
1719,喜欢
1720,喜欢喜欢喜欢！！！！！！！！！！！！！！！！！
1721,因为觉得你们很真诚，所以喜欢。
1722,100w预定
1723,散了，没这命
1724,技术up就是这样的
1725,奥里给！
1726,喜欢
1727,666
1728,太真诚了，路转粉
1729,加油
1730,喜欢，加油
1731,加油
1732,白嫖失败
1733,95.8万了
1734,YINJYOUL
1735,KKKK
1736,这声音也太好听了吧
1737,这声音也太好听了吧
1738,不高，希望越来越好
1739,好父母
1740,创业尝试
1741,成熟中
1742,加油
1743,很清醒
1744,感受到你的激情和真诚
1745,坚持下去
1746,有的 但我是想做游戏来着哈哈
1747,谢谢
1748,加油！
1749,当然喜欢 喜欢
1750,已经快100万粉丝啦！真的很开心，共同见证着你们的前进
1751,跟我来RUSH B~
1752,96.6w
1753,会
1754,会！！
1755,喜欢
1756,有长辈指路真的很棒
1757,左边小弟也太好看了吧
1758,97.2万！
1759,家里没钱能玩这个？
1760,疲惫期，坚持
1761,97.6
1762,超过90万了，你已经成了百大up了
1763,只比我早两届
1764,现在已经2倍了
1765,会会会
1766,98.2
1767,恭喜你 过百了
1768,98.6万
1769,98.6万
1770,同道中人
1771,实话说，我也是这么个经历
1772,我也是这么个经历
1773,这差不多就是我的经历
1774,98.7万
1775,这就是社会的毒打
1776,99.3
1777,很诚恳，粉丝+1
1778,加油！
1779,100万
1780,99.7万了，加油哦
1781,99.9W
1782,99.9
1783,快100万了
1784,百万大军即将达成
1785,10002
1786,100w
1787,100了
1788,ddddddd对
1789,竟然比我还小一届 啊  人生差距啊
1790,100W啦
1791,100w了
1792,100w
1793,别给自己找借口好吗，b站上没有留学的优质up主一大把
1794,别给自己找借口好吗b站上没有留学的优质up主一大把
1795,喜欢！！！！！
1796,谢谢！！！！！
1797,100.6
1798,100.8
1799,100万啦
1800,不容易啊
1801,勇敢！
1802,赞！
1803,ipad pro 开始看的 点赞
1804,原来和Lks是这么认识的
1805,加油
1806,摄影毁一生
1807,水蜜桃
1808,灯
1809,几百遍
1810,加人
1811,喜欢
1812,101
1813,B站画质扛把子
1814,加油！！！
1815,喜欢啊
1816,明白了，受教了
1817,101.2万粉丝我是其中的一位
1818,101w
1819,101w
1820,加油呀
1821,会
1822,lks牛逼
1823,我第一个用imovie
1824,当一个爱好变成工作的时候，它就不是爱好了——玩具龙
1825,？？？lks
1826,何同学过来的加一 都是优秀的人
1827,考古回来，百大了
1828,视频真的做的很用心
1829,是真的很好的频道了
1830,说话真的很让人有思考价值
1831,101.6万
1832,107万啦
1833,加油！！
1834,喜欢！
1835,加油加油加油！！！！
1836,太感动啦
1837,支持啊
1838,加油
1839,会
1840,119.5
1841,爱了
1842,回形针表示不服。
1843,有爹的……………
1844,喜欢这个
1845,102w
1846,1000万了！！！
1847,全心意做的视频！真的好看！
1848,加油ヾ(◍°∇°◍)ﾉﾞ！！
1849,喜欢！！！1
1850,会！！！！
1851,超级喜欢！！！
1852,102.2w了
1853,102
1854,太对了
1855,加油
1856,就这个视频
1857,喜欢
1858,102万了
1859,102万
1860,谢谢啊，打开了我一直不敢结，谢谢
1861,不是雷克塞吗hhhhh
1862,、
1863,102万了
1864,102.3万了
1865,.
1866,这经历跟何同学像
1867,除了吃饭就是学习
1868,你很棒嗷
1869,喜欢
1870,老蒋？？？
1871,加油
1872,明白和想清楚确实需要时间
1873,加油！！！！
1874, 加油！！
1875,我的理想也在慢慢发芽！
1876, 喜欢 爱死了
1877,会!!!
1878,画质真心吊
1879,破百了
1880,加油！
1881,B站102万了！
1882,很喜欢这种形式！
1883,自动投币2个
1884,已经到百万了
1885,网络暴力不要在意它们
1886,102.6
1887,102.9
1888,耐克打钱
1889,会声会影还好，没爱剪辑烂
1890,卖RED
1891,和何同学很像呀
1892,分享你们的生活吧，大家喜欢看活生生的人
1893,加油
1894,刚才说的好！！
1895,说的对
1896,103.1
1897,103.2万
1898,很可爱诶
1899,新粉报道
1900,100W
1901,一个亿了！！！！！！！！！！！！
1902,喜欢
1903,105W啦
1904,年纪大了眼睛果然容易进沙。。。。。
1905,喜欢
1906,这经历跟何同学像
1907,加油
1908,加油
1909,加油
1910,100w了
1911,粉了粉了
1912,卧槽，牛逼！
1913,浙江财经大学西操场
1914,我选择看完
1915,百万了
1916,我也一样
1917,103万了
1918,lks！！
1919,103.9
1920,104
1921,103w
1922,加油，Tim
1923,太棒了
1924,104.0
1925,104
1926,喜欢
1927,泪目
1928,104.1万了
1929,htxhtxhtxhtxhtxhtxhtxhtxhtxhtxhtxhtxhtxhtx
1930,2020年新人小学生报道，名字是小杨家的大橘-喵，我不是自夸，只是让大家看看，提提意见
1931,爱了爱了爱了爱了爱了爱了爱了爱了爱了爱了爱了爱了爱了爱了
1932,加油
1933,要勇于尝试啊！做数学题也是这样的！
1934,这地方真的勾起了我的许多记忆
1935,加油加油！
1936,加油吧
1937,很佩服你  还有回形针那个团队
1938,lks牛逼
1939,会 支持
1940,100万了
1941,不错
1942,100百万贺电
1943,104w
1944,冲！！！！
1945,爱剪辑警告
1946,从小白测评过来的，路转粉
1947,枣子哥
1948,加油
1949,爱好变成工作就是会这样
1950,大实话
1951,104万了
1952,加油啊！tim
1953,喜欢
1954,喜欢！！！！！
1955,操
1956,爱了爱了
1957,老了
1958,生活和
1959,100W
1960,104.6
1961,加油
1962,太爱了
1963,说得好
1964,404
1965,666
1966,牛逼
1967,加油！！！！！！！！！！！！！！111
1968,加油
1969,101.7万了
1970,加油
1971,任督二脉打通了
1972,8k拍猫！！！！！！！！！！
1973,4k猫片！
1974,加油加油！！！
1975,会的
1976,加油
1977,喜欢！
1978,104.9
1979,104W
1980,喜欢
1981,会喜欢 加油！
1982,哈哈哈哈哈哈哈哈哈
1983,105W
1984,105
1985,可以了
1986,关键是时间自由
1987,会！
1988,105.2
1989,哈哈哈哈哈哈哈哈或
1990,哭
1991,哈哈哈哈哈哈哈哈哈
1992,我看饿了？？？？
1993,5555555
1994,喜欢！！！！！！
1995,加油
1996,好棒
1997,哈哈哈哈哈
1998,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1999,感谢up主
2000,已经105万啦~~~~
2001,要相信自己，你真的超棒！！
2002,你就是
2003,就是你呀
2004,喜欢呀
2005,为了热爱
2006,一起加油呀！！！
2007,加油！
2008,厉害
2009,很好的父母支持
2010,哈哈哈
2011,加油
2012,加油
2013,会
2014,105.5万了------！！！
2015,支持你
2016,谢谢你 让我又燃起了激情
2017,10
2018,选鲜活也是很有想法（狗头）
2019,加油！
2020,散了，没这身体
2021,105.7
2022,一定要加油，你会火的
2023,加油
2024,"第一次投币给你了,非常走心"
2025,加油！
2026,加油
2027,会比王自如做的好的多的多的
2028,会
2029,太真实了吧
2030,前面的高考加油啊，一起
2031,魅力
2032,喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢
2033,过来人告诉你们，执念比金钱更重要
2034,有钱先不说，但是比你努力
2035,要把激情变成责任
2036,我也是17年毕业。很佩服你。口才不错。
2037,燃
2038,加油
2039,喜欢
2040,➕1
2041,加油。做自媒体的人都是不容易的
2042,桃子飓风
2043,lks 牛逼
2044,106.1
2045,10601
2046,加油
2047,超额完成任务
2048,做个灯谁都会做，但是如何做好呢
2049,真诚，走心
2050,飓风灯三代什么时候出啊，搞个镁铝合金外壳什么的，漂亮点
2051,背后的灯，调色调的分层了么
2052,喜欢
2053,第一个弹幕送个Tim
2054,不高啊
2055,+
2056,哈哈哈
2057,加油
2058,总结一下，富人比穷人更有耐心
2059,2023年考古
2060,说得很真诚，加油
2061,加油，理想值得热爱
2062,加油，你们一定会成功的
2063,woc好感动
2064,还有吗，这就去买
2065,谢谢up
2066,猫猫!
2067,1个亿了
2068,会
2069,加油
2070,106.7
2071,你给了我激情
2072,喜欢！！！！！
2073,100万了
2074,我也是高一进入学校的新媒体中心然后干视频
2075,106.7万
2076,感到触动
2077,哈哈哈哈
2078,无敌
2079,加油！！！
2080,107W
2081,107.4万考古
2082,加油！想想还有那么多的粉丝支持你！
2083,有有有！！！
2084,成为了经验
2085,UP主加油！！！
2086,6
2087,要吃饭的嘛
2088,翻倍了
2089,现在107W了
2090,107万
2091,哈哈哈哈
2092,哈哈哈哈哈
2093,加油阿
2094,哇
2095,108.1万了
2096,？？？
2097,108W了
2098,852
2099,真的透明
2100,王挖藕出来挨打
2101,加油
2102,真实  真实
2103,老爸也不是等闲之辈
2104,拍电影
2105,加油、
2106,厉害了
2107,加油
2108,谢谢你
2109,100.8
2110,108万啦
2111,yes what's up BRu
2112,加油tinm
2113,108
2114,加油
2115,原始设备制造商
2116,委托他人生产的合作方式简称OEM
2117,真的很努力
2118,越成熟，激情越低
2119,厉害
2120,加油
2121,努力总会有回报的
2122,108W
2123,加油、
2124,卖red那个，是人吗？
2125,看到现在真的感动
2126,100w了！！！！加油
2127,109万
2128,泪目
2129,100
2130,109万了
2131,109万
2132,支持
2133,加油
2134,tim
2135,喜欢嘻哈
2136,109.2万
2137,100w
2138,121.2w
2139,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
2140,无锡的桃子是真的好吃
2141,居然是雷克塞呀
2142,说得好
2143,父母的教育 很大程度影响你
2144,要爹的
2145,因为有钱了啊
2146,是不是荷尔蒙的关系？
2147,.
2148,感谢你们让我知道我还年轻，应该有梦想
2149,创业的时候，跟同伴一起讨论卖多少个，真的很幸福
2150,你爹绝不是普通人
2151,109.6
2152,当兴趣变成一个有预计的目标就会有困难感，产生堕性。又要搞创作又要做管理这很磨人。
2153,加油！！！！
2154,加油
2155,有有有
2156,109.7
2157,加油
2158,tim老爸潘水苗圆通总裁，浙大毕业
2159,哈哈哈哈我以为在开玩笑
2160,太棒了！
2161,喜欢
2162,109啦
2163,已经110万了
2164,加油，喜欢你那美丽的画面
2165,生活从来不容易啊。。。
2166,平谷大桃飘过
2167,做个撕掉标签的励志视频吧
2168,可是你掩藏不住自信的模样
2169,还提到了实习的同学真的是很有情意了。
2170,111
2171,加油！！！
2172,喜欢！！！
2173,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2174,发，伐木累
2175,好样的
2176,110万了
2177,110.3万
2178,加油 加油！！！
2179,支持 坚持做自己就好了
2180,对对对
2181,110.3万
2182,就是好比做好自己才能吸引来真正喜欢自己的人
2183,110w了！
2184,喜欢!!!
2185,支持你~~~
2186,110.4万
2187,会声会影同
2188,突然有些感动
2189,加油加油
2190,不要用‘家里有钱’来掩盖别人努力的现实
2191,加油
2192,惰性每个人都有，这是大多数人的共性
2193,小鱼
2194,喜欢喜欢
2195,加油 真的很棒
2196,帅
2197,110.7万
2198,加油！！！！！1
2199,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2200,加油，朋友
2201,220w了
2202,转超 粉了
2203,粉
2204,垃圾王自如
2205,110.8
2206,110.8
2207,加油
2208,110.9
2209,很棒了
2210,无锡人报道！比较好的要30一个人
2211,加油加油
2212,喜欢！！
2213,好听的这口音我爱了
2214,爸妈真的很棒！
2215,哈哈哈哈沙雕决定
2216,爸爸厉害的！！！
2217,女朋友！！！
2218,卡了吗？？
2219,？？突如其来的狗粮
2220,waow
2221,我来啦
2222,33
2223,阿盛！！！！！！！！！！！！！！！！
2224,哇不容易
2225,▄︻┻┳═一∵∴(∵_，∵)>>
2226,老师
2227,我被你点燃了
2228,女装。。。
2229,加油 喜欢
2230,关注了
2231,好酒没看到这样一个有感觉的视频了
2232,111.4万
2233,有有有.我有
2234,喜欢
2235,1
2236,111万看的
2237,111.2万
2238,113万
2239,相见恨晚
2240,114万了，加油
2241,别人家的父母
2242,钉钉时代报到，120多万，百大UP主
2243,加油
2244,111.5w
2245,考古
2246,2030前来考古
2247,牛啊
2248,110w啦
2249,我又来了
2250,影视飓风加油啊
2251,最喜欢Media Storm
2252,111.6W了
2253,111.6w
2254,左边小哥哥眼睛好好看啊
2255,奈斯
2256,神奇的拉克丝
2257,对的！！！！
2258,你怎么这么可爱
2259,喜欢的！！！！！！！！！！
2260,超喜欢！！
2261,111.6
2262,老夫第一次用的奥维讯
2263,金玉良言
2264,超了80w
2265,不要在意别人眼光
2266,加油 ！！！！
2267,喜欢  加油 ！
2268,加油？
2269,大一大二真的是非常好的时光，你掌握到了，为你高兴！
2270,说得好
2271,开车？
2272,真的，好多从事这个行业的人最初就是从为班级为学校做宣传片而来
2273,超真诚，超好
2274,哈哈哈哈哈哈哈哈哈哈哈
2275,让人羡慕的家庭和父母
2276,加油
2277,100w了
2278,111
2279,111w了
2280,家庭本身就影响这你，你会不会努力和周围的环境有巨大的关系，穷人所担心的未来能不能养活自己，在各种压力下比富人天生就有劣势
2281,doinb有点小帅
2282,卖peach？
2283,王家卫
2284,加油 tim
2285,111.9万
2286,有
2287,喜欢
2288,F1我可以！
2289,这猛过审
2290,已经110W了
2291,112万了
2292,121.1万
2293,会
2294,112.1
2295,加油
2296,这操场有点眼熟，，，
2297,啥家庭啊
2298,几十万重点标注
2299,"想起你看电视的那个画面就理解了,嗯,的确"
2300,太棒了TIM粉你
2301,对对我就是喜欢这种分享，让自己开阔眼界
2302,会会
2303,喜欢
2304,112.3万
2305,真实
2306,雷克赛狗头
2307,做的非常棒
2308,112万了 加油
2309,天哪我现在高二，高一的时候就想做自媒体
2310,会的  喜欢！！！！！！！！！！！！！！！！！
2311,不错，你成功吸引了我的关注
2312,追求卓越，成功自然而来
2313,继续继续继续加油
2314,我多希望有一个这样的经历，而我现在才觉醒
2315,看宽了，自然就迷失了，有时候视线窄而远比较好。爱好成了事业很多时候都变质，而我正在从一个爱好走到另一个爱好的鲜活到陨落
2316,确实，我的标签刚撕掉，现在又再为自己找新的标签贴上，无法做自己想要做的本心，总是需要理性去抉择，反而都是弯路
2317,一个人确实很容易迷失，需要经常看这些鼓励自己
2318,很好很有用
2319,学习了
2320,无锡人来了~~
2321,所以根本没有亏
2322,加油
2323,112.6
2324,111.1万啦
2325,Tim我爱你
2326,对对对！！！！！！！
2327,别再骂王自如了 ，都不容易
2328,狗粮飓风
2329,喜欢
2330,100多万了
2331,挺有意思
2332,哈哈哈
2333,成本高了
2334,可怕
2335,112.7
2336,112.7
2337,英国大学毕业生
2338,喜欢！！！！！
2339,喜欢！
2340,加油！
2341,加油
2342,在杭州真的不高
2343,好真诚的up
2344,好爹啊
2345,有些弹幕好酸啊～～～→_→
2346,请拍猫猫(^･ｪ･^)
2347,112.8万
2348,带我看完
2349,收钱的王自如
2350,运用自如
2351,112.8
2352,0
2353,牛皮
2354,120万
2355,你们就算有这样的爹，也没这个努力的能力
2356,UP主高中自学两年技术，你们如果是富二代，高中估计都在蹦迪了
2357,棒
2358,一百万了
2359,加油
2360,冲
2361,加油
2362,666
2363,3
2364,复盘是很重要的一项能力
2365,加油鸭！
2366,美好的事情将会与你不期而遇
2367,哈哈哈哈哈哈哈哈哈哈
2368,加油~
2369,泪目
2370,ohhhhhhh
2371,114.4万了
2372,喜欢
2373,做播放器同感哈哈哈哈哈
2374,加油
2375,114
2376,喜欢！
2377,对啊对啊对啊
2378,TIm像一个大哥哥一样
2379,超喜欢
2380,喜欢啊
2381,超级喜欢
2382,太喜欢了
2383,啊啊啊啊啊啊啊
2384,加油啊
2385,超棒的tim
2386,加油
2387,加油啊啊啊啊啊啊！！！启发很大！！！
2388,会
2389,赞赞赞
2390,喜欢喜欢
2391,加油加油加油
2392,好可爱
2393,喜欢啊超级喜欢
2394,很棒啊
2395,草（一种植物）
2396,营销号没马
2397,喜欢
2398,嘤嘤嘤喜欢喜欢
2399,爱了爱了
2400,好厉害好厉害好厉害
2401,哈哈哈哈哈哈哈哈哈哈哈哈哈哈卖桃子
2402,你超棒的
2403,对对对！
2404,你还小
2405,棒，加油
2406,一起加油
2407,会
2408,加油
2409,辛苦你们了！！坚持不容易！
2410,画质担当！！
2411,114了
2412,114.9W了现在
2413,喜欢
2414,口吐芬芳
2415,羡慕
2416,哈哈哈哈
2417,WCtim还小我一届
2418,加油
2419,王自如哇偶出来挨打
2420,加油啊
2421,喜欢哈哈哈
2422,有
2423,加油！！！！
2424,好赞
2425,这句话泪目了！！！！！！！！！！！！！！
2426,加油，加油，太喜欢了！
2427,感同身受
2428,没错啊，坚持做自己！
2429,喜欢！
2430,kai...
2431,超喜欢！
2432,酷
2433,已经115万了
2434,115万
2435,追求源于热爱
2436,启发，朋友
2437,喜欢
2438,115w
2439,励志
2440,同感~加油！！！
2441,赞！
2442,加油加油加油！！！
2443,115w
2444,115.1w
2445,115w
2446,你币有了
2447,讲得太好了
2448,好酷啊
2449,加油 加油！
2450,喜欢
2451,AE的别走，是不是从此就变成了食物链底端。。。
2452,加油！
2453,现在都 115.3w了
2454,蝙蝠时代b站马上120万
2455,up主本身就是出国留学的，经验等级和思维开放度就比一般人高
2456,真然人羡慕
2457,加油呀加油！！！
2458,加油！！！
2459,115.3万啦加油加油加油
2460,幸会幸会
2461,喜欢喜欢啊啊啊
2462,哈哈哈哈，加油啊
2463,最喜欢看的就是你们分享快乐的视频
2464,铁王座！！！！
2465,会
2466,喜欢
2467,115.3
2468,RED！
2469,当然会喜欢！！！
2470,一堆没上过班的，网络人均工资1w5
2471,最真诚最努力的up
2472,加油
2473,115w
2474,115w
2475,qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
2476,666666666666666666666666666666
2477,666666666666666666
2478,我就是很喜欢你们做视频认真的态度和无私的分享，不要在意其他人说什么，加油！
2479,我也是这样
2480,aoligei
2481,奥利给
2482,看猫看猫
2483,115.5
2484,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2485,300万了
2486,谢谢
2487,115.6万
2488,听得想哭
2489,20个伙伴们好
2490,可以哦
2491,我喜欢看的，是努力
2492,1115.6
2493,钱不够阿盛都跑啦~~
2494,喜欢，加油！！！
2495,yes!!
2496,已经成功入坑了
2497,喜欢！！！！1
2498,加油！！！！
2499,爱你啊你
2500,打个卡 我很喜欢你们
2501,一起努力
2502,115W
2503,115万！！！
2504,115万了！！！！！冲啊
2505,马上就116万了！！！！
2506,115w
2507,下次一定
2508,去做吧
2509,！！！
2510,奥利给
2511,大大的喜欢
2512,是的，我现在工作也是
2513,主要是受众面和频道IP的问题
2514,IP真的太重要
2515,Tim这种状态我持续蛮久的了，慢慢改变吧
2516,喜欢！！！！
2517,把何同学拖来
2518,一个亿了
2519,会
2520,116w
2521,有
2522,哈哈哈
2523,有坚持！！！！佩服
2524,我现在才知道Tim爸爸是圆通CEOTim，真的很棒加油
2525,会， 听到你这样说， 已经燃烧了
2526,会的
2527,hala madrid
2528,那些人是穷傻了吗
2529,加油
2530,没人否定tim努力，只是说金钱也很重要，现在你能让你爸妈拿出10000块钱，然后你跑到无锡去做哪怕赔本的水蜜桃吗？
2531,116.4w
2532,red
2533,我是pr
2534,PRPRPRPRPR
2535,prprpr
2536,好爸妈
2537,111111111111111
2538,116.5w
2539,116万了
2540,RED舔狗哈哈哈哈哈
2541,喜欢喜欢喜欢
2542,处女币投了
2543,可爱up主 加油呀
2544,116.5w！！
2545,猫猫
2546,116.6万
2547,Cao
2548,Red
2549,red
2550,200w了
2551,蝙蝠时代二刷
2552,视频的意义就在于分享
2553,喜欢
2554,116.8
2555,嘶.我也高一
2556,喵的家里没钱玩个屁哦
2557,走了走了没这命
2558,加油加油
2559,真的很喜欢up的生活
2560,喜欢啊啊啊啊啊啊啊啊啊啊
2561,加油 TIM
2562,116.8万
2563,加一
2564,喜欢
2565,tim爸爸是圆通快递的总裁
2566,117万
2567,我特喜欢这小伙
2568,看得一脸真诚的样子
2569,多好的一个阳光少年
2570,117万
2571,留学的富二代，他爸爸是圆通董事长。。。。。
2572,经济基础决定上层建筑
2573,他爹是圆通快递的董事长，他为啥用顺丰冷链呢哈哈哈
