,comments
312,58.8万 人柱力
313,飓风
314,亲戚家开小理发店都勒紧裤腰带帮女儿加拿大留学 。。。
315,路转粉
316,哈哈哈哈哈
317,王自如
318,马哥
319,表白UP主！！
320,我竟然看哭了
321,不傻不傻 很真诚 会喜欢！
322,喜欢喜欢喜欢！
323,太正能量啦
324,啊哟妈呀 感动
325,敖厂长我永远支持你!  对不起我走错片场了...
326,一
327,哥们儿！！！
328,在哪买？
329,没事，频道我愿意等
330,阿生走了可惜
331,没事，热爱自己的事业
332,快了49.3
333,喜欢！！！、
334,好好好
335,喜欢你
336,超级喜欢你
337,要有矿的...
338,喜欢
339,贡献弹幕
340,加一个
341,贡献弹幕
342,喜欢！！！
343,喜欢
344,我可以
345,1000w
346,真棒1
347,让我想起了一拳超人。
348,加油
349,支持up主
350,200
351,嘿嘿，买了！！
352,60.1万了
353,60.2了，
354,60.2万
355,加油
356,60.2w
357,喜欢
358,爱你
359,加油
360,赞
361,111111
362,60.3万啦
363,B站已经60万了
364,屮
365,60.4w
366,对的。。现在阿盛 都离开了呢
367,爱了
368,60.4w
369,60.4w了
370,加油
371,60w
372,喜欢！
373,喜欢喜欢喜欢喜欢
374,喜欢喜欢喜欢喜欢喜欢
375,会
376,爱你，加油
377,加油
378,do it
379,just do it
380,zhichini
381,  会的，因为你在做你喜欢的事！！！
382,会的，因为你在做你喜欢的事！！！
383,喜欢
384,谢谢
385,我会！
386,60万了耶
387,加油！！
388,加油！
389,加油
390,会
391,上抖音
392,寻求新的突破点，现在是手机快餐时代，抖音一样可以出高质量的视频
393,60万了
394,很真诚的讲话。
395,喜欢啊
396,加油
397,60.9
398,英国，划重点
399,61W
400,60.9万
401,有个开明的父母真的是很幸福的事
402,60w了
403,61W了
404,找一个经理
405,有
406,61万
407,61.0w
408,果然tim跟中国大部分那种男生挺像的，有点小内向之类的。。
409,嗯！良心的东西总是难站住脚跟！但金子是埋不住光芒的！！
410,就是你这个视频
411,61万了，加油
412,加油啊
413,想把所有币投给你
414,61.1万
415,哈哈哈哈哈哈哈哈哈哈哈哈哈
416,有有有
417,up加油！！！！
418,喜欢喜欢
419,喜欢
420,三好up！！
421,要上亿 ！！上亿！！！
422,61万
423,61.2
424,加油啊 Tim
425,哈哈哈哈哈哈 钱永远是问题。人间真实。加油。
426,61.2万，加油，影视飓风
427,哈哈哈，有意思想笑，但又突然感觉到这怎么这么像自己呢
428,对对对
429,加油 加油
430,好棒啊 突然泪目
431,喜欢
432,61.4万
433,60w
434,1000w
435,牛逼
436,支持你
437,哭了
438,已经到啦
439,说的很好
440,61.5万
441,已经过60W了
442,对对对对对
443,喜欢
444,可以了，n b
445,爱上小哥哥
446,喜欢
447,哈哈哈哈哈哈哈哈哈哈哈哈
448,给力
449,喜欢看猫猫！！！
450,投下处女币
451,对的
452,真实
453,会
454,呵呵哈哈哈
455,有
456,会的
457,人家不缺
458,全程没有切换镜头 很牛逼啊
459,泪崩  同是影视人  为梦前行
460,61.8
461,那最好了！
462,61.8了
463,自媒体应该分享啊！！！！
464,快62w了
465,61.9w
466,刚刚是不是错别字
467,鸡皮疙瘩
468,Up坦坦荡荡的分享  我们能看到的也是他的热血和坚持  还是希望有些人目光不要太短浅8
469,会喜欢的
470,会！
471,哈哈
472,会！
473,爱情
474,magic lantern
475,62.1
476,62.1万了
477,62.2
478,7.20  62.2w
479,哈哈
480,向你学习。
481,是的
482,谢谢
483,哈哈哈哈哈
484,给力！支持！
485,63.4W
486,63.5万
487,粉了
488,1
489,投入大
490,报个总裁班
491,63.8
492,真实陷阱
493,我看了你的测评  才买的BMPCC
494,64W了
495,喜欢
496,投币去了我
497,可可爱爱
498,喜欢
499,听说你们是b站画质扛把子？
500,Up太真诚了，less is more
501,喜欢
502,皇马好评！！
503,棒
504,很厉害
505,65
506,65万 july.24
507,65w
508,CCTV7
509,！！！
510,65w
511,很真诚，爱了
512,飓风灯真的很好用
513,65w
514,65.1万！
515,我给你打弹幕
516,65万
517,65.3w
518,前面说像燕双鹰的，给我站住，正倾入情感听故事呢，你给我来了这么一句，哈哈哈哈哈哈哈，那Tim赌你的号里没有硬币
519,会
520,想做自己喜欢的事情
521,正能量偶像
522,7.26，65万了。
523,真的很棒
524,泪目
525,65万了
526,有的很对
527,7分熟也许还好发
528,阿胜真的去坐车了
529,谢谢Tim
530,我学长推给我的up主   很喜欢
531,真的是 每次觉得没动力就来看Tim
532,65.7
533,好
534,国外大佬  kai
535,草
536,别说王自如了，他养了更多的员工，很不容易了
537,老爸老妈真好
538,up主优秀的
539,工作一年的我现在也是这样
540,好感动
541,就是你呀
542,会！！！我爱影视飓风！
543,喜欢
544,难受..目前就是这个状态
545,真的很有想法了
546,来一个 支持
547,66wan
548,66W
549,66.0
550,跟我有点像。。。
551,有
552,加一个
553,现在66.1万
554,加油 66.2了
555,加油.66.2了
556,加油 tim！
557,哈哈
558,喜欢看各种各样的视频分享
559,加油
560,喜欢
561,加油
562,很优秀
563,偶
564,充值震
565,66.5W了
566,酒窝！
567,66w
568,啊啊啊
569,加油！
570,吸猫太愿意啦！！！
571,67万
572,多好的一笔财富呀，失败才是最宝贵的
573,人格需要晋升，还在乎标签。
574,哇哭
575,67.1
576,会喜欢会喜欢
577,加油加油
578,你们都很棒
579,会
580,tim好棒
581,加油
582,是啊
583,tim加油！！！哭了
584,是的，就是你
585,对呀
586,哈哈哈
587,喜欢喜欢
588,可以
589,贡献一下
590,加油啦
591,8.4  67.2W
592,67.2万啦
593,py君
594,67.2w
595,是的
596,喜欢
597,超喜欢
598,喜欢喜欢！要做自己喜欢的事ya
599,哇哇哇
600,加油
601,牛逼
602,加油
603,已经67.4
604,喜欢
605,加油
606,静汗青
607,很好，你很理，支持你
608,开明又理智
609,很像我一个同学
610,思维缜密，
611,哇哇哇、
612,变得好喜欢你了
613,加油
614,给了我现在困境的一份感动
615,喜欢
616,指数型组织增长
617,想起了zealer
618,喜欢的
619,画质确实很好
620,喜欢
621,哈哈哈哈哈
622,好可爱
623,我最喜欢的宣传片
624,加油
625,一直支持你哟
626,68w
627,老了老了
628,不用谢
629,感谢你父母吧，也感谢你自己的努力
630,68.1W了
631,可爱的Tim
632,加油呀！
633,1
634,加油
635,68.3万
636,小虎
637,丈母娘
638,支持支持，话说我还是从和同学那儿看的的影视飓风呢
639,加油
640,学会拒绝
641,疯狂打call
642,影视飓风牛逼！
643,68.4
644,68万了
645,不赚钱
646,我来发弹幕啦
647,68.5万了
648,第一次弹幕贡献给你们 加油
649,我用的第一个是vegas
650,UP主加油！
651,喜欢
652,68万了
653,加油Tim
654,。。。。
655,在杭州哪里很高了？
656,当然喜欢
657,68.8
658,你真的超优秀啊
659,喜欢 加油！
660,发弹幕求不卡
661,bgm超级用心啊
662,2333
663,68.9万了
664,嗯嗯是的
665,对的
666,BGM也太棒啦
667,这大概就是从爱好变成职业的差别吧
668,加油啊
669,加油
670,加油
671,已经69W了哥哥！
672,写暑假作业的我
673,69.1
674,69.1万 加油！
675,65W了
676,69.1
677,喜欢喜欢喜欢喜欢
678,喜欢
679,成长的路真的很难 加油！
680,加油，支持
681,起点太高，大家散了吧
682,是你的真诚让你得到了应有的
683,加油
684,好羡慕
685,桃子一定很好卖
686,婚礼可以哈哈哈
687,red舔狗笑死了哈哈哈哈
688,cao
689,这个时候你自己才是商品
690,8月 70万了
691,高质量的频道
692,加油tim
693,加油
694,想成为像up这样的人啊
695,加油！
696,69.7w
697,喜欢
698,08/18-67.9万
699,养了那么多员工的王自如不容易~~我就呵呵
700,草
701,培林俊
702,加油
703,无锡好的水蜜桃这个价格算正常，成本摆在那，不用太惊讶
704,69.9
705,我40岁的大叔还奋进呢，加油
706,英雄不问出路
707,是不是英雄冷暖自知
708,哭了
709,加油！
710,DAN！！
711,就是你们啊
712,xswl
713,nb
714,70w
715,respect
716,如果可以重新选择生活
717,70万了
718,王自如
719,惊了
720,OEM很正常的
721,70w了
722,网络恶霸
723,哈哈，支持！
724,加油
725,喜欢
726,70.1万
727,家！！
728,一直有
729,会
730,会了
731,666
732,70.1w
733,70.1
734,喜欢！
735,now
736,还是开始有钱啊
737,不傻啊，能想明白能通透不是一个难就能形容的
738,加油  说的好
739,70万
740,粉了粉了，喜欢up主
741,知道一个道理很简单，但要正在体悟这个道理，只能随缘
742,70万了
743,你已经和牛逼了
744,加油！加油！
745,加油！
746,你需要休息一下
747,三观很正
748,偶像！
749,70万了
750,喜欢！
751,接下来要朝100万进发了
752,枣子哥
753,枣子哥
754,枣子哥
755,枣子哥
756,哈哈哈哈哈哈哈哈哈哈哈
757,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
758,70.4w
759,70.5w  come on
760,70.5
761,哈哈哈哈哈哈草
762,姿态叫刘志豪
763,bigger研究？？？？
764,有人听到BGM吗！
765,加油！！！冲鸭！
766,喜欢！！！
767,加油
768,太低了
769,jack去哪了
770,70.7w
771,哇
772,70.7万
773,666
774, 加油
775,优秀
776,70.7
777,影视飓风成了我在B站驻留最长的频道
778,干货
779,当做老师
780,学习是一辈子的事情
781,加油加油加油
782,看到这里基本上就打消了大部分人的念头了
783,5
784,已经70万了
785,可以可以可以可以
786,是很好地思考自己呀
787,71.0
788,为什么我开始就从AE开始的，是不是打开方式不对
789,71万了
790,晒老婆飓风
791,杭州本科计算机毕业生都要8K了
792,老番茄
793,red在狮子手上哈哈哈哈哈哈哈
794,已经超过啦
795,继续加油！！！！
796,喜欢！
797,喜欢
798,71w
799,cao
800,我外号叫桃子
801,加油 这条视频明确了我的方向
802,70了
803,可怕的应该是没人买
804,这是情深深雨蒙蒙嘛？
805,前面这段说的也太好了
806,131万
807,真的啊
808,有有有
809,哈哈哈哈哈哈哈哈哈
810,Peter McKinnon
811,把我的Siri叫出来了
812,努力的人永远最有魅力
813,71.4
814,有东西
815,说的真好！
816,陌生人 加油
817,100万了
818,支持你
819,喜欢啊
820,我喜欢
821,真实
822,对
823,当然啊！
824,已经71万啦
825,666
826,会的
827,辛苦了，压力大
828,不高
829,卧槽上来就bmpcc...
830,哈哈哈哈哈哈哈哈哈
831,71.6
832,贡献弹幕
833,第一个弹幕和硬币都给你了
834,71.6万了
835,加油
836,加油 共勉
837,有
838,喜欢
839,第一次发弹幕，加油啊up主！！！
840,每个人都需要花时间想清楚一些事情，不过想清了就好啦！
841,加油！！iTN
842,喜欢
843,哈 第一次是用会声会影做表白视频
844,毕业四年，和up一毛一样，越来越不敢尝试陌生的方式
845,真的不算高了
846,71.9w
847,元芳
848,喜欢的
849,贡献弹幕
850,？？？？
851,72.1w啦 加油！
852,72.2万
853,我认为这几年最好的lpl宣传片！！！！
854,加油！！！
855,！！！！
856,72万
857,喜欢！！！
858,72.4万
859,很棒很棒，加油
860,72万
